,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/deepweeds/images/20170728-152004-1.jpg,Prickly acacia,Negative,"['data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171212-094952-1.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Chinee apple', 'Snake weed', 'Prickly acacia', 'Negative', 'Chinee apple', 'Parkinsonia', 'Snake weed', 'Lantana']",Negative,"['data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170718-132737-2.jpg']","['Chinee apple', 'Snake weed', 'Chinee apple', 'Snake weed']",Negative,"['data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20170718-132237-2.jpg']","['Siam weed', 'Snake weed']",Parthenium,['data/deepweeds/images/20170714-120304-3.jpg'],['Lantana'],Parthenium,[],[]
1,data/deepweeds/images/20170210-142422-0.jpg,Snake weed,Chinee apple,"['data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20180112-081137-2.jpg']","['Rubber vine', 'Parkinsonia', 'Chinee apple', 'Parthenium', 'Negative', 'Siam weed', 'Parthenium', 'Negative']",Chinee apple,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg']","['Chinee apple', 'Chinee apple', 'Chinee apple', 'Prickly acacia']",Prickly acacia,"['data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Prickly acacia', 'Parthenium']",Lantana,['data/deepweeds/images/20170920-172144-1.jpg'],['Parkinsonia'],Rubber vine,[],[]
2,data/deepweeds/images/20170920-130439-2.jpg,Parkinsonia,Prickly acacia,"['data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170127-101415-0.jpg']","['Lantana', 'Chinee apple', 'Chinee apple', 'Snake weed', 'Prickly acacia', 'Parthenium', 'Siam weed', 'Lantana']",Prickly acacia,"['data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Rubber vine', 'Lantana', 'Chinee apple', 'Lantana']",Prickly acacia,"['data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Lantana', 'Parthenium']",Prickly acacia,['data/deepweeds/images/20170718-132000-2.jpg'],['Chinee apple'],Prickly acacia,[],[]
3,data/deepweeds/images/20170714-120648-3.jpg,Lantana,Lantana,"['data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170410-154004-0.jpg']","['Parthenium', 'Rubber vine', 'Parkinsonia', 'Parthenium', 'Chinee apple', 'Prickly acacia', 'Siam weed', 'Chinee apple']",Lantana,"['data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170705-165040-0.jpg']","['Prickly acacia', 'Prickly acacia', 'Parthenium', 'Snake weed']",Lantana,"['data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20171025-100416-2.jpg']","['Prickly acacia', 'Parthenium']",Lantana,['data/deepweeds/images/20170706-112624-0.jpg'],['Snake weed'],Lantana,[],[]
4,data/deepweeds/images/20170920-172144-1.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20180109-080158-1.jpg']","['Lantana', 'Prickly acacia', 'Negative', 'Snake weed', 'Rubber vine', 'Snake weed', 'Parthenium', 'Negative']",Parkinsonia,"['data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170811-163650-1.jpg']","['Prickly acacia', 'Chinee apple', 'Lantana', 'Chinee apple']",Rubber vine,"['data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20180109-105153-1.jpg']","['Lantana', 'Negative']",Parkinsonia,['data/deepweeds/images/20170811-162102-1.jpg'],['Chinee apple'],Rubber vine,[],[]
5,data/deepweeds/images/20171109-091335-3.jpg,Rubber vine,Snake weed,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg']","['Lantana', 'Negative', 'Rubber vine', 'Lantana', 'Parkinsonia', 'Lantana', 'Parthenium', 'Chinee apple']",Rubber vine,"['data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Parthenium', 'Rubber vine', 'Negative', 'Parthenium']",Rubber vine,"['data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Parthenium', 'Snake weed']",Siam weed,['data/deepweeds/images/20171113-142238-2.jpg'],['Siam weed'],Snake weed,[],[]
6,data/deepweeds/images/20170729-092929-2.jpg,Prickly acacia,Rubber vine,"['data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170811-104825-2.jpg']","['Parkinsonia', 'Chinee apple', 'Parthenium', 'Chinee apple', 'Siam weed', 'Parthenium', 'Negative', 'Chinee apple']",Prickly acacia,"['data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20171102-121717-1.jpg']","['Rubber vine', 'Parthenium', 'Parthenium', 'Parkinsonia']",Parkinsonia,"['data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171113-140251-1.jpg']","['Parkinsonia', 'Siam weed']",Rubber vine,['data/deepweeds/images/20170410-154004-0.jpg'],['Chinee apple'],Rubber vine,[],[]
7,data/deepweeds/images/20170630-154442-0.jpg,Snake weed,Lantana,"['data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20171113-135507-3.jpg']","['Snake weed', 'Snake weed', 'Rubber vine', 'Siam weed', 'Prickly acacia', 'Parkinsonia', 'Chinee apple', 'Siam weed']",Lantana,"['data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170210-142647-0.jpg']","['Snake weed', 'Rubber vine', 'Snake weed', 'Snake weed']",Lantana,"['data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170714-140705-1.jpg']","['Siam weed', 'Lantana']",Lantana,['data/deepweeds/images/20170920-111229-2.jpg'],['Parkinsonia'],Lantana,[],[]
8,data/deepweeds/images/20170304-124640-0.jpg,Chinee apple,Rubber vine,"['data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170127-101927-0.jpg']","['Negative', 'Rubber vine', 'Lantana', 'Parkinsonia', 'Rubber vine', 'Parthenium', 'Chinee apple', 'Lantana']",Rubber vine,"['data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170714-110205-1.jpg']","['Lantana', 'Siam weed', 'Rubber vine', 'Lantana']",Rubber vine,"['data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170906-095420-4.jpg']","['Negative', 'Parthenium']",Rubber vine,['data/deepweeds/images/20170714-120022-3.jpg'],['Lantana'],Rubber vine,[],[]
9,data/deepweeds/images/20170811-162102-1.jpg,Chinee apple,Lantana,"['data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170714-120648-3.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20170630-154442-0.jpg']","['Negative', 'Lantana', 'Chinee apple', 'Snake weed', 'Negative', 'Chinee apple', 'Prickly acacia', 'Snake weed']",Lantana,"['data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Rubber vine', 'Negative', 'Lantana', 'Parthenium']",Lantana,"['data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg']","['Parkinsonia', 'Parkinsonia']",Lantana,['data/deepweeds/images/20171113-142238-2.jpg'],['Siam weed'],Prickly acacia,[],[]
