,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg,Powdery Mildew,Powdery Mildew,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170308 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_164349 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162455 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160003 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162502 (Custom) (Custom).jpg']","['Gall Midge', 'Anthracnose', 'Die Back', 'Anthracnose', 'Powdery Mildew', 'Die Back', 'Healthy', 'Cutting Weevil']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162700 (Custom).jpg']","['Cutting Weevil', 'Die Back', 'Die Back', 'Gall Midge']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143006 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140521 (Custom).jpg']","['Bacterial Canker', 'Anthracnose']",Powdery Mildew,['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135534 (Custom).jpg'],['Bacterial Canker'],Powdery Mildew,[],[]
1,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg,Powdery Mildew,Powdery Mildew,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162411 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122653 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170138 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162455 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg']","['Cutting Weevil', 'Sooty Mould', 'Anthracnose', 'Healthy', 'Healthy', 'Cutting Weevil', 'Die Back', 'Powdery Mildew']",Sooty Mould,"['data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162502 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164413 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg']","['Die Back', 'Cutting Weevil', 'Gall Midge', 'Cutting Weevil']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122000 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg']","['Powdery Mildew', 'Die Back']",Powdery Mildew,['data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg'],['Healthy'],Powdery Mildew,[],[]
2,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122459 (Custom).jpg,Powdery Mildew,Powdery Mildew,"['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_164418 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162705 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170153 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg']","['Anthracnose', 'Cutting Weevil', 'Die Back', 'Die Back', 'Die Back', 'Cutting Weevil', 'Anthracnose', 'Powdery Mildew']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134812 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162411 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg']","['Bacterial Canker', 'Cutting Weevil', 'Cutting Weevil', 'Die Back']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_164413 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161345 (Custom) (Custom).jpg']","['Anthracnose', 'Cutting Weevil']",Powdery Mildew,['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg'],['Powdery Mildew'],Powdery Mildew,[],[]
3,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123124 (Custom).jpg,Sooty Mould,Sooty Mould,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_164349 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135534 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/20211008_124931 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162125 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg']","['Cutting Weevil', 'Powdery Mildew', 'Die Back', 'Bacterial Canker', 'Anthracnose', 'Powdery Mildew', 'Cutting Weevil', 'Anthracnose']",Sooty Mould,"['data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122459 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134812 (Custom).jpg']","['Die Back', 'Bacterial Canker', 'Powdery Mildew', 'Bacterial Canker']",Sooty Mould,"['data/mango-leaf-disease-dataset/Healthy/20211231_160003 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162700 (Custom).jpg']","['Healthy', 'Gall Midge']",Sooty Mould,['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg'],['Bacterial Canker'],Sooty Mould,[],[]
4,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162940 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_162219 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141854 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_161531 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122653 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg']","['Gall Midge', 'Die Back', 'Bacterial Canker', 'Bacterial Canker', 'Gall Midge', 'Sooty Mould', 'Powdery Mildew', 'Powdery Mildew']",Cutting Weevil,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143006 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161345 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161506 (Custom).jpg']","['Powdery Mildew', 'Bacterial Canker', 'Cutting Weevil', 'Healthy']",Cutting Weevil,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135800 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122528 (Custom).jpg']","['Bacterial Canker', 'Sooty Mould']",Cutting Weevil,['data/mango-leaf-disease-dataset/Anthracnose/20211008_124931 (Custom).jpg'],['Anthracnose'],Die Back,[],[]
5,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg,Powdery Mildew,Sooty Mould,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155401 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135800 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161832 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123124 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162125 (Custom) (Custom).jpg']","['Bacterial Canker', 'Healthy', 'Anthracnose', 'Bacterial Canker', 'Anthracnose', 'Healthy', 'Sooty Mould', 'Cutting Weevil']",Sooty Mould,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155401 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135800 (Custom).jpg']","['Powdery Mildew', 'Healthy', 'Die Back', 'Bacterial Canker']",Powdery Mildew,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_165339 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg']","['Gall Midge', 'Die Back']",Powdery Mildew,['data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg'],['Healthy'],Powdery Mildew,[],[]
6,data/mango-leaf-disease-dataset/Healthy/20211231_125605 (Custom).jpg,Healthy,Healthy,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161641(0) (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122528 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141614 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124044 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161706 (Custom).jpg']","['Powdery Mildew', 'Cutting Weevil', 'Sooty Mould', 'Die Back', 'Powdery Mildew', 'Bacterial Canker', 'Powdery Mildew', 'Die Back']",Healthy,"['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155750 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161506 (Custom).jpg']","['Anthracnose', 'Healthy', 'Sooty Mould', 'Healthy']",Healthy,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170308 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142108 (Custom).jpg']","['Gall Midge', 'Bacterial Canker']",Healthy,['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143356 (Custom).jpg'],['Bacterial Canker'],Healthy,[],[]
7,data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg,Die Back,Die Back,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164502 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122252 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_161531 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg']","['Gall Midge', 'Bacterial Canker', 'Sooty Mould', 'Powdery Mildew', 'Gall Midge', 'Cutting Weevil', 'Powdery Mildew', 'Anthracnose']",Die Back,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124906 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134702 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145257 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_164349 (Custom).jpg']","['Powdery Mildew', 'Bacterial Canker', 'Sooty Mould', 'Die Back']",Die Back,"['data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124044 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_160851 (Custom).jpg']","['Powdery Mildew', 'Healthy']",Die Back,['data/mango-leaf-disease-dataset/Healthy/20211231_161832 (Custom).jpg'],['Healthy'],Die Back,[],[]
8,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg,Anthracnose,Anthracnose,"['data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161506 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170006 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_164418 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162227 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155401 (Custom).jpg', 'data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124044 (Custom).jpg']","['Anthracnose', 'Healthy', 'Gall Midge', 'Die Back', 'Gall Midge', 'Bacterial Canker', 'Healthy', 'Powdery Mildew']",Anthracnose,"['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141614 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143356 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135534 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155218 (Custom).jpg']","['Bacterial Canker', 'Bacterial Canker', 'Bacterial Canker', 'Healthy']",Anthracnose,"['data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg']","['Sooty Mould', 'Cutting Weevil']",Anthracnose,['data/mango-leaf-disease-dataset/Die Back/20211129_162705 (Custom).jpg'],['Die Back'],Anthracnose,[],[]
9,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg,Anthracnose,Gall Midge,"['data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170138 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg', 'data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_161448 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162411 (Custom) (Custom).jpg', 'data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145336 (Custom).jpg', 'data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg']","['Cutting Weevil', 'Die Back', 'Sooty Mould', 'Bacterial Canker', 'Healthy', 'Cutting Weevil', 'Sooty Mould', 'Anthracnose']",Cutting Weevil,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164502 (Custom).jpg', 'data/mango-leaf-disease-dataset/Healthy/20211231_155218 (Custom).jpg', 'data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_161531 (Custom).jpg', 'data/mango-leaf-disease-dataset/Die Back/20211129_161706 (Custom).jpg']","['Gall Midge', 'Healthy', 'Gall Midge', 'Die Back']",Die Back,"['data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164447 (Custom).jpg', 'data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161641(0) (Custom).jpg']","['Gall Midge', 'Cutting Weevil']",Cutting Weevil,['data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142108 (Custom).jpg'],['Bacterial Canker'],Cutting Weevil,[],[]
