,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/farm_insects/Colorado Potato Beetles/Image_2.jpg,Colorado Potato Beetles,Colorado Potato Beetles,"['data/farm_insects/Spider Mites/Image_30.jpg', 'data/farm_insects/Armyworms/Image_3.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_42.jpg', 'data/farm_insects/Western Corn Rootworms/Image_81.jpg', 'data/farm_insects/Aphids/Image_71.jpg', 'data/farm_insects/Citrus Canker/Image_97.jpg', 'data/farm_insects/Western Corn Rootworms/Image_25.jpg', 'data/farm_insects/Spider Mites/Image_16.jpg']","['Spider Mites', 'Armyworms', 'Brown Marmorated Stink Bugs', 'Western Corn Rootworms', 'Aphids', 'Citrus Canker', 'Western Corn Rootworms', 'Spider Mites']",Colorado Potato Beetles,"['data/farm_insects/Spider Mites/Image_30.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_101.jpg', 'data/farm_insects/Corn Borers/Image_101.jpg', 'data/farm_insects/Western Corn Rootworms/Image_81.jpg']","['Spider Mites', 'Brown Marmorated Stink Bugs', 'Corn Borers', 'Western Corn Rootworms']",Colorado Potato Beetles,"['data/farm_insects/Tomato Hornworms/Image_110.JPG', 'data/farm_insects/Africanized Honey Bees/Image_34.jpg']","['Tomato Hornworms', 'Africanized Honey Bees']",Colorado Potato Beetles,['data/farm_insects/Fall Armyworms/Image_85.jpg'],['Fall Armyworms'],Colorado Potato Beetles,[],[]
1,data/farm_insects/Brown Marmorated Stink Bugs/Image_39.jpg,Brown Marmorated Stink Bugs,Brown Marmorated Stink Bugs,"['data/farm_insects/Tomato Hornworms/Image_114.jpg', 'data/farm_insects/Fall Armyworms/Image_86.JPG', 'data/farm_insects/Armyworms/Image_29.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_6.jpeg', 'data/farm_insects/Africanized Honey Bees/Image_85.jpg', 'data/farm_insects/Corn Earworms/Image_11.jpg', 'data/farm_insects/Corn Borers/Image_39.jpg', 'data/farm_insects/Africanized Honey Bees/Image_24.jpg']","['Tomato Hornworms', 'Fall Armyworms', 'Armyworms', 'Colorado Potato Beetles', 'Africanized Honey Bees', 'Corn Earworms', 'Corn Borers', 'Africanized Honey Bees']",Brown Marmorated Stink Bugs,"['data/farm_insects/Western Corn Rootworms/Image_20.png', 'data/farm_insects/Tomato Hornworms/Image_11.jpg', 'data/farm_insects/Corn Earworms/Image_69.jpg', 'data/farm_insects/Citrus Canker/Image_45.png']","['Western Corn Rootworms', 'Tomato Hornworms', 'Corn Earworms', 'Citrus Canker']",Brown Marmorated Stink Bugs,"['data/farm_insects/Tomato Hornworms/Image_110.JPG', 'data/farm_insects/Cabbage Loopers/Image_81.jpg']","['Tomato Hornworms', 'Cabbage Loopers']",Brown Marmorated Stink Bugs,['data/farm_insects/Fall Armyworms/Image_86.JPG'],['Fall Armyworms'],Brown Marmorated Stink Bugs,[],[]
2,data/farm_insects/Fall Armyworms/Image_39.jpg,Fall Armyworms,Armyworms,"['data/farm_insects/Cabbage Loopers/Image_4.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_95.jpg', 'data/farm_insects/Africanized Honey Bees/Image_24.jpg', 'data/farm_insects/Corn Earworms/Image_91.JPG', 'data/farm_insects/Western Corn Rootworms/Image_8.jpg', 'data/farm_insects/Aphids/Image_89.jpg', 'data/farm_insects/Western Corn Rootworms/Image_25.jpg', 'data/farm_insects/Fruit Flies/Image_81.jpg']","['Cabbage Loopers', 'Colorado Potato Beetles', 'Africanized Honey Bees', 'Corn Earworms', 'Western Corn Rootworms', 'Aphids', 'Western Corn Rootworms', 'Fruit Flies']",Fall Armyworms,"['data/farm_insects/Colorado Potato Beetles/Image_2.jpg', 'data/farm_insects/Citrus Canker/Image_56.jpg', 'data/farm_insects/Fruit Flies/Image_5.jpg', 'data/farm_insects/Spider Mites/Image_112.jpg']","['Colorado Potato Beetles', 'Citrus Canker', 'Fruit Flies', 'Spider Mites']",Fall Armyworms,"['data/farm_insects/Armyworms/Image_71.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_79.jpg']","['Armyworms', 'Colorado Potato Beetles']",Armyworms,['data/farm_insects/Armyworms/Image_119.jpg'],['Armyworms'],Fall Armyworms,[],[]
3,data/farm_insects/Spider Mites/Image_74.jpg,Spider Mites,Spider Mites,"['data/farm_insects/Tomato Hornworms/Image_110.JPG', 'data/farm_insects/Tomato Hornworms/Image_114.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_42.jpg', 'data/farm_insects/Fruit Flies/Image_81.jpg', 'data/farm_insects/Citrus Canker/Image_59.jpg', 'data/farm_insects/Armyworms/Image_29.jpg', 'data/farm_insects/Corn Earworms/Image_16.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_106.png']","['Tomato Hornworms', 'Tomato Hornworms', 'Brown Marmorated Stink Bugs', 'Fruit Flies', 'Citrus Canker', 'Armyworms', 'Corn Earworms', 'Brown Marmorated Stink Bugs']",Spider Mites,"['data/farm_insects/Corn Earworms/Image_69.jpg', 'data/farm_insects/Spider Mites/Image_112.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_106.jpg', 'data/farm_insects/Fall Armyworms/Image_85.jpg']","['Corn Earworms', 'Spider Mites', 'Colorado Potato Beetles', 'Fall Armyworms']",Spider Mites,"['data/farm_insects/Cabbage Loopers/Image_4.jpg', 'data/farm_insects/Fall Armyworms/Image_86.JPG']","['Cabbage Loopers', 'Fall Armyworms']",Spider Mites,['data/farm_insects/Spider Mites/Image_30.jpg'],['Spider Mites'],Spider Mites,[],[]
4,data/farm_insects/Africanized Honey Bees/Image_34.jpg,Africanized Honey Bees,Africanized Honey Bees,"['data/farm_insects/Western Corn Rootworms/Image_8.jpg', 'data/farm_insects/Corn Earworms/Image_69.jpg', 'data/farm_insects/Cabbage Loopers/Image_64.jpg', 'data/farm_insects/Fall Armyworms/Image_45.jpg', 'data/farm_insects/Western Corn Rootworms/Image_20.png', 'data/farm_insects/Colorado Potato Beetles/Image_2.jpg', 'data/farm_insects/Armyworms/Image_45.jpg', 'data/farm_insects/Spider Mites/Image_111.jpg']","['Western Corn Rootworms', 'Corn Earworms', 'Cabbage Loopers', 'Fall Armyworms', 'Western Corn Rootworms', 'Colorado Potato Beetles', 'Armyworms', 'Spider Mites']",Africanized Honey Bees,"['data/farm_insects/Cabbage Loopers/Image_22.png', 'data/farm_insects/Corn Borers/Image_16.jpg', 'data/farm_insects/Fruit Flies/Image_102.jpg', 'data/farm_insects/Spider Mites/Image_112.jpg']","['Cabbage Loopers', 'Corn Borers', 'Fruit Flies', 'Spider Mites']",Africanized Honey Bees,"['data/farm_insects/Tomato Hornworms/Image_16.JPG', 'data/farm_insects/Citrus Canker/Image_56.jpg']","['Tomato Hornworms', 'Citrus Canker']",Africanized Honey Bees,['data/farm_insects/Brown Marmorated Stink Bugs/Image_42.jpg'],['Brown Marmorated Stink Bugs'],Africanized Honey Bees,[],[]
5,data/farm_insects/Cabbage Loopers/Image_4.jpg,Cabbage Loopers,Cabbage Loopers,"['data/farm_insects/Aphids/Image_23.jpg', 'data/farm_insects/Citrus Canker/Image_56.jpg', 'data/farm_insects/Western Corn Rootworms/Image_25.jpg', 'data/farm_insects/Fall Armyworms/Image_14.jpg', 'data/farm_insects/Spider Mites/Image_52.jpg', 'data/farm_insects/Spider Mites/Image_112.jpg', 'data/farm_insects/Spider Mites/Image_111.jpg', 'data/farm_insects/Africanized Honey Bees/Image_116.jpg']","['Aphids', 'Citrus Canker', 'Western Corn Rootworms', 'Fall Armyworms', 'Spider Mites', 'Spider Mites', 'Spider Mites', 'Africanized Honey Bees']",Cabbage Loopers,"['data/farm_insects/Aphids/Image_99.jpg', 'data/farm_insects/Spider Mites/Image_112.jpg', 'data/farm_insects/Fruit Flies/Image_81.jpg', 'data/farm_insects/Corn Earworms/Image_16.jpg']","['Aphids', 'Spider Mites', 'Fruit Flies', 'Corn Earworms']",Cabbage Loopers,"['data/farm_insects/Armyworms/Image_3.jpg', 'data/farm_insects/Fall Armyworms/Image_39.jpg']","['Armyworms', 'Fall Armyworms']",Cabbage Loopers,['data/farm_insects/Citrus Canker/Image_97.jpg'],['Citrus Canker'],Cabbage Loopers,[],[]
6,data/farm_insects/Colorado Potato Beetles/Image_95.jpg,Colorado Potato Beetles,Colorado Potato Beetles,"['data/farm_insects/Spider Mites/Image_30.jpg', 'data/farm_insects/Thrips/Image_10.jpg', 'data/farm_insects/Fruit Flies/Image_5.jpg', 'data/farm_insects/Cabbage Loopers/Image_4.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_2.jpg', 'data/farm_insects/Africanized Honey Bees/Image_85.jpg', 'data/farm_insects/Aphids/Image_23.jpg', 'data/farm_insects/Tomato Hornworms/Image_46.jpg']","['Spider Mites', 'Thrips', 'Fruit Flies', 'Cabbage Loopers', 'Colorado Potato Beetles', 'Africanized Honey Bees', 'Aphids', 'Tomato Hornworms']",Colorado Potato Beetles,"['data/farm_insects/Brown Marmorated Stink Bugs/Image_101.jpg', 'data/farm_insects/Corn Earworms/Image_69.jpg', 'data/farm_insects/Fruit Flies/Image_111.jpg', 'data/farm_insects/Corn Earworms/Image_104.jpg']","['Brown Marmorated Stink Bugs', 'Corn Earworms', 'Fruit Flies', 'Corn Earworms']",Colorado Potato Beetles,"['data/farm_insects/Thrips/Image_55.jpg', 'data/farm_insects/Aphids/Image_71.jpg']","['Thrips', 'Aphids']",Colorado Potato Beetles,['data/farm_insects/Corn Borers/Image_86.png'],['Corn Borers'],Colorado Potato Beetles,[],[]
7,data/farm_insects/Fruit Flies/Image_99.jpg,Fruit Flies,Corn Earworms,"['data/farm_insects/Fall Armyworms/Image_86.JPG', 'data/farm_insects/Western Corn Rootworms/Image_81.jpg', 'data/farm_insects/Corn Earworms/Image_16.jpg', 'data/farm_insects/Corn Earworms/Image_91.JPG', 'data/farm_insects/Thrips/Image_5.jpg', 'data/farm_insects/Thrips/Image_37.jpeg', 'data/farm_insects/Corn Borers/Image_94.jpg', 'data/farm_insects/Corn Earworms/Image_69.jpg']","['Fall Armyworms', 'Western Corn Rootworms', 'Corn Earworms', 'Corn Earworms', 'Thrips', 'Thrips', 'Corn Borers', 'Corn Earworms']",Corn Earworms,"['data/farm_insects/Fall Armyworms/Image_14.jpg', 'data/farm_insects/Tomato Hornworms/Image_11.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_95.jpg', 'data/farm_insects/Corn Earworms/Image_16.jpg']","['Fall Armyworms', 'Tomato Hornworms', 'Colorado Potato Beetles', 'Corn Earworms']",Aphids,"['data/farm_insects/Colorado Potato Beetles/Image_2.jpg', 'data/farm_insects/Aphids/Image_90.jpg']","['Colorado Potato Beetles', 'Aphids']",Fruit Flies,['data/farm_insects/Africanized Honey Bees/Image_24.jpg'],['Africanized Honey Bees'],None of the above,[],[]
8,data/farm_insects/Aphids/Image_89.jpg,Aphids,Aphids,"['data/farm_insects/Spider Mites/Image_30.jpg', 'data/farm_insects/Tomato Hornworms/Image_16.JPG', 'data/farm_insects/Tomato Hornworms/Image_114.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_51.jpg', 'data/farm_insects/Brown Marmorated Stink Bugs/Image_39.jpg', 'data/farm_insects/Citrus Canker/Image_22.jpg', 'data/farm_insects/Armyworms/Image_71.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_6.jpeg']","['Spider Mites', 'Tomato Hornworms', 'Tomato Hornworms', 'Brown Marmorated Stink Bugs', 'Brown Marmorated Stink Bugs', 'Citrus Canker', 'Armyworms', 'Colorado Potato Beetles']",Aphids,"['data/farm_insects/Corn Borers/Image_16.jpg', 'data/farm_insects/Corn Earworms/Image_16.jpg', 'data/farm_insects/Aphids/Image_71.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_79.jpg']","['Corn Borers', 'Corn Earworms', 'Aphids', 'Colorado Potato Beetles']",Aphids,"['data/farm_insects/Fruit Flies/Image_5.jpg', 'data/farm_insects/Colorado Potato Beetles/Image_6.jpeg']","['Fruit Flies', 'Colorado Potato Beetles']",Aphids,['data/farm_insects/Colorado Potato Beetles/Image_106.jpg'],['Colorado Potato Beetles'],Aphids,[],[]
9,data/farm_insects/Corn Borers/Image_72.jpg,Corn Borers,Corn Borers,"['data/farm_insects/Tomato Hornworms/Image_11.jpg', 'data/farm_insects/Fall Armyworms/Image_45.jpg', 'data/farm_insects/Citrus Canker/Image_97.jpg', 'data/farm_insects/Tomato Hornworms/Image_110.JPG', 'data/farm_insects/Cabbage Loopers/Image_64.jpg', 'data/farm_insects/Thrips/Image_16.jpg', 'data/farm_insects/Tomato Hornworms/Image_114.jpg', 'data/farm_insects/Aphids/Image_89.jpg']","['Tomato Hornworms', 'Fall Armyworms', 'Citrus Canker', 'Tomato Hornworms', 'Cabbage Loopers', 'Thrips', 'Tomato Hornworms', 'Aphids']",Corn Earworms,"['data/farm_insects/Fruit Flies/Image_102.jpg', 'data/farm_insects/Western Corn Rootworms/Image_20.png', 'data/farm_insects/Fall Armyworms/Image_86.JPG', 'data/farm_insects/Aphids/Image_71.jpg']","['Fruit Flies', 'Western Corn Rootworms', 'Fall Armyworms', 'Aphids']",Corn Earworms,"['data/farm_insects/Armyworms/Image_71.jpg', 'data/farm_insects/Citrus Canker/Image_59.jpg']","['Armyworms', 'Citrus Canker']",Corn Borers,['data/farm_insects/Corn Borers/Image_94.jpg'],['Corn Borers'],Corn Earworms,[],[]
