,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/deepweeds/images/20170728-152004-1.jpg,Prickly acacia,Parkinsonia,"['data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20171113-124517-3.jpg']","['Chinee apple', 'Parkinsonia', 'Snake weed', 'Negative', 'Siam weed', 'Rubber vine', 'Snake weed', 'Siam weed']",Rubber vine,"['data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20180109-080158-1.jpg']","['Lantana', 'Rubber vine', 'Siam weed', 'Negative']",Parthenium,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20171025-100510-2.jpg']","['Parthenium', 'Parthenium']",Parthenium,['data/deepweeds/images/20171025-082133-3.jpg'],['Parthenium'],Siam weed,[],[]
1,data/deepweeds/images/20170210-142422-0.jpg,Snake weed,Lantana,"['data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Prickly acacia', 'Siam weed', 'Parkinsonia', 'Siam weed', 'Negative', 'Parkinsonia', 'Chinee apple', 'Prickly acacia']",Lantana,"['data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20170811-163650-1.jpg']","['Negative', 'Parkinsonia', 'Negative', 'Chinee apple']",Lantana,"['data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Prickly acacia', 'Rubber vine']",Rubber vine,['data/deepweeds/images/20170920-130439-2.jpg'],['Parkinsonia'],Lantana,[],[]
2,data/deepweeds/images/20170920-130439-2.jpg,Parkinsonia,Siam weed,"['data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170705-165040-0.jpg', 'data/deepweeds/images/20170728-152004-1.jpg']","['Rubber vine', 'Siam weed', 'Lantana', 'Chinee apple', 'Snake weed', 'Parthenium', 'Snake weed', 'Prickly acacia']",,,,Parkinsonia,"['data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170920-101034-2.jpg']","['Chinee apple', 'Parkinsonia']",,,,,,
3,data/deepweeds/images/20170714-120648-3.jpg,Lantana,Lantana,"['data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20171113-143028-3.jpg', 'data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20180125-100709-2.jpg']","['Rubber vine', 'Rubber vine', 'Negative', 'Negative', 'Siam weed', 'Siam weed', 'Snake weed', 'Negative']",Lantana,"['data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Parkinsonia', 'Rubber vine', 'Parthenium', 'Rubber vine']",Lantana,"['data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20170705-165040-0.jpg']","['Rubber vine', 'Snake weed']",Lantana,['data/deepweeds/images/20171113-140251-1.jpg'],['Siam weed'],Lantana,[],[]
4,data/deepweeds/images/20170920-172144-1.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20171025-082439-1.jpg']","['Parthenium', 'Parthenium', 'Parthenium', 'Siam weed', 'Chinee apple', 'Parkinsonia', 'Parkinsonia', 'Chinee apple']",Prickly acacia,"['data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20170714-120304-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170410-154004-0.jpg']","['Snake weed', 'Lantana', 'Parthenium', 'Chinee apple']",Prickly acacia,"['data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20171113-132015-3.jpg']","['Parthenium', 'Siam weed']",Prickly acacia,['data/deepweeds/images/20170210-142848-0.jpg'],['Snake weed'],Prickly acacia,[],[]
5,data/deepweeds/images/20171109-091335-3.jpg,Rubber vine,Rubber vine,"['data/deepweeds/images/20170718-132237-2.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Snake weed', 'Parkinsonia', 'Prickly acacia', 'Negative', 'Parkinsonia', 'Prickly acacia', 'Siam weed', 'Prickly acacia']",Rubber vine,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170920-114717-3.jpg']","['Prickly acacia', 'Parthenium', 'Chinee apple', 'Parkinsonia']",Siam weed,"['data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20171113-135507-3.jpg']","['Parkinsonia', 'Siam weed']",Rubber vine,['data/deepweeds/images/20180109-105153-1.jpg'],['Negative'],Rubber vine,[],[]
6,data/deepweeds/images/20170729-092929-2.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20170920-095313-3.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170920-174414-1.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171109-093602-2.jpg']","['Parkinsonia', 'Parthenium', 'Parthenium', 'Chinee apple', 'Prickly acacia', 'Parthenium', 'Chinee apple', 'Rubber vine']",Prickly acacia,"['data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170920-111042-3.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171113-140251-1.jpg']","['Parthenium', 'Prickly acacia', 'Parthenium', 'Siam weed']",Prickly acacia,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170811-104825-2.jpg']","['Lantana', 'Chinee apple']",Prickly acacia,['data/deepweeds/images/20170727-113159-1.jpg'],['Prickly acacia'],Negative,[],[]
7,data/deepweeds/images/20170630-154442-0.jpg,Snake weed,Siam weed,"['data/deepweeds/images/20170718-132237-2.jpg', 'data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20171113-135507-3.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170727-120008-3.jpg']","['Snake weed', 'Parkinsonia', 'Siam weed', 'Chinee apple', 'Prickly acacia', 'Snake weed', 'Parthenium', 'Prickly acacia']",Siam weed,"['data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171113-135152-1.jpg']","['Rubber vine', 'Snake weed', 'Parthenium', 'Siam weed']",Parthenium,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170913-110133-3.jpg']","['Prickly acacia', 'Rubber vine']",,,,Siam weed,[],[]
8,data/deepweeds/images/20170304-124640-0.jpg,Chinee apple,Chinee apple,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20180109-103216-1.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20171113-124517-3.jpg']","['Chinee apple', 'Prickly acacia', 'Chinee apple', 'Siam weed', 'Negative', 'Negative', 'Siam weed', 'Siam weed']",Prickly acacia,"['data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20171025-082133-3.jpg']","['Rubber vine', 'Siam weed', 'Snake weed', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20170627-104853-0.jpg', 'data/deepweeds/images/20171113-142238-2.jpg']","['Snake weed', 'Siam weed']",Siam weed,['data/deepweeds/images/20171113-140251-1.jpg'],['Siam weed'],Rubber vine,[],[]
9,data/deepweeds/images/20170811-162102-1.jpg,Chinee apple,Prickly acacia,"['data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20171102-123535-3.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170920-111042-3.jpg']","['Snake weed', 'Prickly acacia', 'Parkinsonia', 'Siam weed', 'Negative', 'Parkinsonia', 'Prickly acacia', 'Prickly acacia']",Prickly acacia,"['data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20171025-100416-2.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20171109-093143-1.jpg']","['Chinee apple', 'Parthenium', 'Lantana', 'Rubber vine']",Prickly acacia,"['data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170920-095313-3.jpg']","['Negative', 'Parkinsonia']",Parkinsonia,['data/deepweeds/images/20170920-130439-2.jpg'],['Parkinsonia'],Prickly acacia,[],[]
