,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/IDC_data/2201-p.jpg,4,4,"['data/IDC_data/3201-p.jpg', 'data/IDC_data/2269-p.jpg', 'data/IDC_data/4242-p.jpg', 'data/IDC_data/2383-p.jpg', 'data/IDC_data/4224-p.jpg', 'data/IDC_data/4401-p.jpg', 'data/IDC_data/3101-p.jpg', 'data/IDC_data/3244-p.jpg']","[4, 2, 5, 1, 2, 4, 4, 5]",4,"['data/IDC_data/3482-p.jpg', 'data/IDC_data/3412-p.jpg', 'data/IDC_data/3292-p.jpg', 'data/IDC_data/1329-p.jpg']","[3, 2, 3, 4]",4,"['data/IDC_data/3199-p.jpg', 'data/IDC_data/4293-p.jpg']","[4, 4]",4,['data/IDC_data/1132-p.jpg'],[3],3,[],[]
1,data/IDC_data/4404-p.jpg,3,3,"['data/IDC_data/4072-p.jpg', 'data/IDC_data/3218-p.jpg', 'data/IDC_data/2239-p.jpg', 'data/IDC_data/1456-p.jpg', 'data/IDC_data/3412-p.jpg', 'data/IDC_data/4480-p.jpg', 'data/IDC_data/2269-p.jpg', 'data/IDC_data/4393-p.jpg']","[3, 1, 2, 5, 2, 4, 2, 5]",2,"['data/IDC_data/2096-p.jpg', 'data/IDC_data/3218-p.jpg', 'data/IDC_data/4302-p.jpg', 'data/IDC_data/4487-p.jpg']","[5, 1, 1, 1]",2,"['data/IDC_data/4113-p.jpg', 'data/IDC_data/4060-p.jpg']","[1, 5]",2,['data/IDC_data/2488-p.jpg'],[3],2,[],[]
2,data/IDC_data/4205-p.jpg,5,4,"['data/IDC_data/3011-p.jpg', 'data/IDC_data/2325-p.jpg', 'data/IDC_data/4101-p.jpg', 'data/IDC_data/4401-p.jpg', 'data/IDC_data/1032-p.jpg', 'data/IDC_data/4493-p.jpg', 'data/IDC_data/4219-p.jpg', 'data/IDC_data/3199-p.jpg']","[1, 3, 4, 4, 2, 4, 5, 4]",5,"['data/IDC_data/2159-p.jpg', 'data/IDC_data/3011-p.jpg', 'data/IDC_data/1032-p.jpg', 'data/IDC_data/4493-p.jpg']","[1, 1, 2, 4]",5,"['data/IDC_data/3436-p.jpg', 'data/IDC_data/3292-p.jpg']","[1, 3]",1,['data/IDC_data/2159-p.jpg'],[1],5,[],[]
3,data/IDC_data/4288-p.jpg,1,1,"['data/IDC_data/4480-p.jpg', 'data/IDC_data/3300-p.jpg', 'data/IDC_data/2460-p.jpg', 'data/IDC_data/4242-p.jpg', 'data/IDC_data/1401-p.jpg', 'data/IDC_data/4224-p.jpg', 'data/IDC_data/4113-p.jpg', 'data/IDC_data/4401-p.jpg']","[4, 1, 3, 5, 4, 2, 1, 4]",1,"['data/IDC_data/3339-p.jpg', 'data/IDC_data/1401-p.jpg', 'data/IDC_data/1301-p.jpg', 'data/IDC_data/4261-p.jpg']","[2, 4, 3, 3]",2,"['data/IDC_data/3436-p.jpg', 'data/IDC_data/3231-p.jpg']","[1, 3]",1,['data/IDC_data/4224-p.jpg'],[2],1,[],[]
4,data/IDC_data/1437-p.jpg,5,5,"['data/IDC_data/2449-p.jpg', 'data/IDC_data/3292-p.jpg', 'data/IDC_data/4487-p.jpg', 'data/IDC_data/2486-p.jpg', 'data/IDC_data/3158-p.jpg', 'data/IDC_data/1470-p.jpg', 'data/IDC_data/2159-p.jpg', 'data/IDC_data/4058-p.jpg']","[2, 3, 1, 4, 3, 4, 1, 4]",4,"['data/IDC_data/1201-p.jpg', 'data/IDC_data/4277-p.jpg', 'data/IDC_data/3436-p.jpg', 'data/IDC_data/4177-p.jpg']","[3, 2, 1, 2]",4,"['data/IDC_data/4060-p.jpg', 'data/IDC_data/1114-p.jpg']","[5, 3]",4,['data/IDC_data/4060-p.jpg'],[5],4,[],[]
5,data/IDC_data/1456-p.jpg,5,4,"['data/IDC_data/2409-p.jpg', 'data/IDC_data/1486-p.jpg', 'data/IDC_data/3277-p.jpg', 'data/IDC_data/4288-p.jpg', 'data/IDC_data/4101-p.jpg', 'data/IDC_data/4493-p.jpg', 'data/IDC_data/4113-p.jpg', 'data/IDC_data/4072-p.jpg']","[2, 3, 4, 1, 4, 4, 1, 3]",4,"['data/IDC_data/2460-p.jpg', 'data/IDC_data/4141-p.jpg', 'data/IDC_data/4101-p.jpg', 'data/IDC_data/2458-p.jpg']","[3, 4, 4, 5]",3,"['data/IDC_data/4277-p.jpg', 'data/IDC_data/2409-p.jpg']","[2, 2]",2,['data/IDC_data/3300-p.jpg'],[1],4,[],[]
6,data/IDC_data/1401-p.jpg,4,4,"['data/IDC_data/4058-p.jpg', 'data/IDC_data/1415-p.jpg', 'data/IDC_data/4302-p.jpg', 'data/IDC_data/4113-p.jpg', 'data/IDC_data/2101-p.jpg', 'data/IDC_data/2488-p.jpg', 'data/IDC_data/3067-p.jpg', 'data/IDC_data/1329-p.jpg']","[4, 1, 1, 1, 2, 3, 3, 4]",4,"['data/IDC_data/2118-p.jpg', 'data/IDC_data/3231-p.jpg', 'data/IDC_data/3201-p.jpg', 'data/IDC_data/1486-p.jpg']","[1, 3, 4, 3]",3,"['data/IDC_data/2101-p.jpg', 'data/IDC_data/4302-p.jpg']","[2, 1]",3,['data/IDC_data/2401-p.jpg'],[5],3,[],[]
7,data/IDC_data/4140-p.jpg,3,1,"['data/IDC_data/3053-p.jpg', 'data/IDC_data/3320-p.jpg', 'data/IDC_data/2383-p.jpg', 'data/IDC_data/4261-p.jpg', 'data/IDC_data/3253-p.jpg', 'data/IDC_data/3244-p.jpg', 'data/IDC_data/3041-p.jpg', 'data/IDC_data/3277-p.jpg']","[1, 3, 1, 3, 1, 5, 2, 4]",1,"['data/IDC_data/2452-p.jpg', 'data/IDC_data/3277-p.jpg', 'data/IDC_data/1456-p.jpg', 'data/IDC_data/2301-p.jpg']","[1, 4, 5, 4]",1,"['data/IDC_data/3124-p.jpg', 'data/IDC_data/4288-p.jpg']","[2, 1]",2,['data/IDC_data/3414-p.jpg'],[2],1,[],[]
8,data/IDC_data/4113-p.jpg,1,1,"['data/IDC_data/4322-p.jpg', 'data/IDC_data/2159-p.jpg', 'data/IDC_data/1114-p.jpg', 'data/IDC_data/3011-p.jpg', 'data/IDC_data/1437-p.jpg', 'data/IDC_data/3041-p.jpg', 'data/IDC_data/3053-p.jpg', 'data/IDC_data/2429-p.jpg']","[4, 1, 3, 1, 5, 2, 1, 5]",1,"['data/IDC_data/3041-p.jpg', 'data/IDC_data/4219-p.jpg', 'data/IDC_data/3201-p.jpg', 'data/IDC_data/1032-p.jpg']","[2, 5, 4, 2]",1,"['data/IDC_data/4058-p.jpg', 'data/IDC_data/4444-p.jpg']","[4, 2]",1,['data/IDC_data/4288-p.jpg'],[1],1,[],[]
9,data/IDC_data/3218-p.jpg,1,1,"['data/IDC_data/2356-p.jpg', 'data/IDC_data/4422-p.jpg', 'data/IDC_data/1486-p.jpg', 'data/IDC_data/1437-p.jpg', 'data/IDC_data/3053-p.jpg', 'data/IDC_data/3124-p.jpg', 'data/IDC_data/3225-p.jpg', 'data/IDC_data/1329-p.jpg']","[3, 1, 3, 5, 1, 2, 1, 4]",2,"['data/IDC_data/1392-p.jpg', 'data/IDC_data/1201-p.jpg', 'data/IDC_data/4060-p.jpg', 'data/IDC_data/4058-p.jpg']","[1, 3, 5, 4]",1,"['data/IDC_data/1132-p.jpg', 'data/IDC_data/3244-p.jpg']","[3, 5]",1,['data/IDC_data/4302-p.jpg'],[1],1,[],[]
