,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/deepweeds/images/20170728-152004-1.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171109-093143-1.jpg']","['Rubber vine', 'Parkinsonia', 'Chinee apple', 'Lantana', 'Parthenium', 'Negative', 'Chinee apple', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20171121-084910-1.jpg']","['Snake weed', 'Chinee apple', 'Prickly acacia', 'Siam weed']",Parkinsonia,"['data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20170920-111042-3.jpg']","['Siam weed', 'Prickly acacia']",Parkinsonia,['data/deepweeds/images/20171109-073321-3.jpg'],['Rubber vine'],,,
1,data/deepweeds/images/20170210-142422-0.jpg,Snake weed,Chinee apple,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170729-090327-1.jpg']","['Negative', 'Rubber vine', 'Siam weed', 'Parthenium', 'Chinee apple', 'Rubber vine', 'Parthenium', 'Prickly acacia']",Chinee apple,"['data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20171109-074327-1.jpg']","['Parthenium', 'Parkinsonia', 'Siam weed', 'Rubber vine']",Chinee apple,"['data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20171109-194851-1.jpg']","['Negative', 'Rubber vine']",Chinee apple,['data/deepweeds/images/20171212-094952-1.jpg'],['Negative'],Negative,[],[]
2,data/deepweeds/images/20170920-130439-2.jpg,Parkinsonia,,,,Parthenium,"['data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170627-104853-0.jpg']","['Lantana', 'Parthenium', 'Negative', 'Snake weed']",,,,Negative,['data/deepweeds/images/20171113-135152-1.jpg'],['Siam weed'],Negative,[],[]
3,data/deepweeds/images/20170714-120648-3.jpg,Lantana,Lantana,"['data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20170920-111229-2.jpg']","['Prickly acacia', 'Snake weed', 'Siam weed', 'Snake weed', 'Lantana', 'Negative', 'Siam weed', 'Parkinsonia']",Lantana,"['data/deepweeds/images/20171025-074729-2.jpg', 'data/deepweeds/images/20170210-133043-0.jpg', 'data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20171025-082133-3.jpg']","['Parthenium', 'Chinee apple', 'Parkinsonia', 'Parthenium']",Lantana,"['data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg']","['Chinee apple', 'Chinee apple']",Lantana,['data/deepweeds/images/20171025-100510-2.jpg'],['Parthenium'],Lantana,[],[]
4,data/deepweeds/images/20170920-172144-1.jpg,Parkinsonia,Parkinsonia,"['data/deepweeds/images/20171102-103736-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20171121-084910-1.jpg', 'data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170727-164330-1.jpg']","['Parkinsonia', 'Parthenium', 'Siam weed', 'Siam weed', 'Parthenium', 'Parkinsonia', 'Siam weed', 'Prickly acacia']",Parkinsonia,"['data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Parkinsonia', 'Parkinsonia', 'Siam weed', 'Rubber vine']",Parkinsonia,"['data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Negative', 'Rubber vine']",Parkinsonia,['data/deepweeds/images/20170410-160127-0.jpg'],['Snake weed'],Parkinsonia,[],[]
5,data/deepweeds/images/20171109-091335-3.jpg,Rubber vine,Negative,"['data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20170727-120008-3.jpg']","['Siam weed', 'Parthenium', 'Lantana', 'Parthenium', 'Parthenium', 'Snake weed', 'Lantana', 'Prickly acacia']",Negative,"['data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20170727-120008-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Negative', 'Negative', 'Prickly acacia', 'Parthenium']",Negative,"['data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20170714-120304-3.jpg']","['Parkinsonia', 'Lantana']",Rubber vine,['data/deepweeds/images/20171113-092801-1.jpg'],['Rubber vine'],Negative,[],[]
6,data/deepweeds/images/20170729-092929-2.jpg,Prickly acacia,Prickly acacia,"['data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170728-152004-1.jpg', 'data/deepweeds/images/20171113-132015-3.jpg', 'data/deepweeds/images/20171205-134436-2.jpg']","['Negative', 'Snake weed', 'Parkinsonia', 'Snake weed', 'Rubber vine', 'Prickly acacia', 'Siam weed', 'Negative']",Parkinsonia,"['data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20171109-091335-3.jpg', 'data/deepweeds/images/20171025-092626-2.jpg']","['Parthenium', 'Parkinsonia', 'Rubber vine', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20171109-093143-1.jpg']","['Snake weed', 'Rubber vine']",Negative,['data/deepweeds/images/20170705-165040-0.jpg'],['Snake weed'],Prickly acacia,[],[]
7,data/deepweeds/images/20170630-154442-0.jpg,Snake weed,Parthenium,"['data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20170715-174216-1.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170728-152004-1.jpg']","['Rubber vine', 'Parthenium', 'Rubber vine', 'Prickly acacia', 'Rubber vine', 'Lantana', 'Parthenium', 'Prickly acacia']",Parthenium,"['data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171102-120816-1.jpg', 'data/deepweeds/images/20170920-172144-1.jpg', 'data/deepweeds/images/20171025-092626-2.jpg']","['Parkinsonia', 'Parkinsonia', 'Parkinsonia', 'Parthenium']",Parthenium,"['data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20170920-172144-1.jpg']","['Negative', 'Parkinsonia']",Parthenium,['data/deepweeds/images/20171113-133118-3.jpg'],['Siam weed'],Parthenium,[],[]
8,data/deepweeds/images/20170304-124640-0.jpg,Chinee apple,Chinee apple,"['data/deepweeds/images/20170811-133144-1.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170718-132737-2.jpg']","['Chinee apple', 'Negative', 'Chinee apple', 'Chinee apple', 'Negative', 'Snake weed', 'Parkinsonia', 'Snake weed']",Chinee apple,"['data/deepweeds/images/20170920-114717-3.jpg', 'data/deepweeds/images/20171113-140251-1.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20171205-134436-2.jpg']","['Parkinsonia', 'Siam weed', 'Parthenium', 'Negative']",Chinee apple,"['data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170714-110205-1.jpg']","['Parthenium', 'Lantana']",Rubber vine,['data/deepweeds/images/20171109-073321-3.jpg'],['Rubber vine'],Chinee apple,[],[]
9,data/deepweeds/images/20170811-162102-1.jpg,Chinee apple,Chinee apple,"['data/deepweeds/images/20171205-134436-2.jpg', 'data/deepweeds/images/20171113-132754-3.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20170630-154442-0.jpg', 'data/deepweeds/images/20180112-072356-2.jpg', 'data/deepweeds/images/20170714-120304-3.jpg']","['Negative', 'Siam weed', 'Prickly acacia', 'Parkinsonia', 'Rubber vine', 'Snake weed', 'Negative', 'Lantana']",Chinee apple,"['data/deepweeds/images/20171025-092626-2.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170727-124521-1.jpg', 'data/deepweeds/images/20171113-133118-3.jpg']","['Parthenium', 'Parkinsonia', 'Prickly acacia', 'Siam weed']",Chinee apple,"['data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Parkinsonia', 'Prickly acacia']",Chinee apple,['data/deepweeds/images/20170728-120256-2.jpg'],['Prickly acacia'],Chinee apple,[],[]
